name,Pmax,Pmin,type,bus,max_ramp_up,max_ramp_down,min_up_time,min_down_time,marginal_cost,shut_down_cost,start_cost,zone,generator,x,y,V
gen_3_0,130,0.0,wind,3,,,0.0,0.0,0.0,0,0.0,R1,0,62,-101,142.1
gen_3_1,130,0.0,wind,3,,,0.0,0.0,0.0,0,0.0,R1,70,92,-131,142.1
gen_7_2,400,0.0,nuclear,7,3.5,3.5,2016.0,2016.0,35.0,0,27728.7,R1,2,74,-293,355.4
gen_9_3,130,0.0,wind,9,,,0.0,0.0,0.0,0,0.0,R1,3,74,-390,355.4
gen_10_4,110,0.0,solar,10,,,0.0,0.0,0.0,0,0.0,R1,69,116,-104,142.1
gen_10_5,110,0.0,solar,10,,,0.0,0.0,0.0,0,0.0,R1,99,86,-104,142.1
gen_11_6,500,0.0,thermal,11,8.5,8.5,96.0,48.0,148.0,0,5443.61,R1,4,191,-82,142.1
gen_14_7,110,0.0,solar,14,,,0.0,0.0,0.0,0,0.0,R1,56,284,-159,142.1
gen_14_8,180,0.0,hydro,14,11.2,11.2,12.0,12.0,38.0,0,1.0,R1,5,284,-159,142.1
gen_14_9,110,0.0,solar,14,,,0.0,0.0,0.0,0,0.0,R1,64,284,-159,142.1
gen_17_10,180,0.0,hydro,17,11.2,11.2,12.0,12.0,39.0,0,1.0,R1,6,317,-250,142.1
gen_18_11,80,0.0,solar,18,,,0.0,0.0,0.0,0,0.0,R1,7,351,-212,142.1
gen_24_12,130,0.0,wind,24,,,0.0,0.0,0.0,0,0.0,R1,10,315,-479,142.1
gen_25_13,400,0.0,nuclear,25,3.5,3.5,2016.0,2016.0,35.0,0,27728.7,R1,9,267,-446,355.4
gen_26_14,130,0.0,wind,26,,,0.0,0.0,0.0,0,0.0,R1,71,124,-425,142.1
gen_26_15,130,0.0,wind,26,,,0.0,0.0,0.0,0,0.0,R1,11,94,-515,142.1
gen_33_16,80,0.0,solar,33,,,0.0,0.0,0.0,0,0.0,R2,14,548,-155,142.1
gen_39_17,120,0.0,wind,39,,,0.0,0.0,0.0,0,0.0,R2,16,612,-46,142.1
gen_41_18,80,0.0,solar,41,,,0.0,0.0,0.0,0,0.0,R2,17,700,-46,142.1
gen_41_19,180,0.0,hydro,41,11.2,11.2,12.0,12.0,36.0,0,1.0,R2,20,700,-46,142.1
gen_45_20,80,0.0,solar,45,,,0.0,0.0,0.0,0,0.0,R2,18,668,-233,142.1
gen_48_21,100,0.0,wind,48,,,0.0,0.0,0.0,0,0.0,R2,72,772,-249,142.1
gen_48_22,110,0.0,solar,48,,,0.0,0.0,0.0,0,0.0,R2,65,772,-249,142.1
gen_48_23,110,0.0,solar,48,,,0.0,0.0,0.0,0,0.0,R2,57,802,-219,142.1
gen_48_24,100,0.0,wind,48,,,0.0,0.0,0.0,0,0.0,R2,19,772,-249,142.1
gen_53_25,500,0.0,thermal,53,8.5,8.5,96.0,48.0,148.0,0,5443.61,R2,55,790,-48,142.1
gen_54_26,60,0.0,solar,54,,,0.0,0.0,0.0,0,0.0,R2,21,899,-46,142.1
gen_55_27,110,0.0,solar,55,,,0.0,0.0,0.0,0,0.0,R2,66,844,-45,142.1
gen_55_28,110,0.0,solar,55,,,0.0,0.0,0.0,0,0.0,R2,58,874,-15,142.1
gen_55_29,80,0.0,solar,55,,,0.0,0.0,0.0,0,0.0,R2,22,844,-45,142.1
gen_58_30,160,0.0,solar,58,,,0.0,0.0,0.0,0,0.0,R2,54,950,-69,142.1
gen_59_31,150,0.0,nuclear,59,5.3,5.3,96.0,96.0,46.0,0,13989.2,R2,63,950,-164,142.1
gen_60_32,150,0.0,nuclear,60,5.3,5.3,96.0,96.0,46.0,0,13989.2,R2,24,950,-216,142.1
gen_61_33,130,0.0,wind,61,,,0.0,0.0,0.0,0,0.0,R2,25,913,-311,142.1
gen_61_34,160,0.0,solar,61,,,0.0,0.0,0.0,0,0.0,R2,61,913,-311,142.1
gen_64_35,400,0.0,nuclear,64,3.5,3.5,2016.0,2016.0,35.0,0,27728.7,R2,26,863,-364,355.4
gen_65_36,130,0.0,wind,65,,,0.0,0.0,0.0,0,0.0,R2,27,845,-311,142.1
gen_68_37,500,0.0,thermal,68,9.9,9.9,96.0,48.0,140.0,0,2705.06,R2,28,727,-339,142.1
gen_69_38,180,0.0,hydro,69,11.2,11.2,12.0,12.0,37.0,0,0.0,R1,31,582,-346,142.1
gen_69_39,80,0.0,solar,69,,,0.0,0.0,0.0,0,0.0,R1,29,582,-346,142.1
gen_75_40,80,0.0,solar,75,,,0.0,0.0,0.0,0,0.0,R2,33,688,-486,142.1
gen_76_41,500,0.0,thermal,76,5.7,5.7,96.0,48.0,149.0,0,2386.82,R2,35,718,-518,142.1
gen_76_42,180,0.0,hydro,76,11.2,11.2,12.0,12.0,37.0,0,0.0,R2,23,718,-518,142.1
gen_79_43,110,0.0,solar,79,,,0.0,0.0,0.0,0,0.0,R2,59,778,-486,142.1
gen_79_44,110,0.0,solar,79,,,0.0,0.0,0.0,0,0.0,R2,67,748,-456,142.1
gen_82_45,180,0.0,hydro,82,11.2,11.2,12.0,12.0,36.0,0,0.0,R3,36,578,-583,142.1
gen_84_46,100,0.0,wind,84,,,0.0,0.0,0.0,0,0.0,R3,37,560,-643,142.1
gen_86_47,80,0.0,solar,86,,,0.0,0.0,0.0,0,0.0,R3,38,578,-689,165.8
gen_88_48,120,0.0,wind,88,,,0.0,0.0,0.0,0,0.0,R3,39,650,-645,142.1
gen_89_49,110,0.0,solar,89,,,0.0,0.0,0.0,0,0.0,R3,60,654,-685,142.1
gen_89_50,110,0.0,solar,89,,,0.0,0.0,0.0,0,0.0,R3,68,624,-655,142.1
gen_91_51,500,0.0,thermal,91,8.5,8.5,24.0,24.0,133.0,0,3392.3,R3,42,742,-644,142.1
gen_99_52,100,0.0,wind,99,,,0.0,0.0,0.0,0,0.0,R3,73,851,-582,142.1
gen_99_53,180,0.0,hydro,99,11.2,11.2,12.0,12.0,37.0,0,0.0,R3,43,851,-582,142.1
gen_99_54,60,0.0,wind,99,,,0.0,0.0,0.0,0,0.0,R3,44,851,-582,142.1
gen_103_55,150,0.0,nuclear,103,5.3,5.3,24.0,24.0,33.0,0,21510.5,R3,46,901,-579,142.1
gen_104_56,80,0.0,solar,104,,,0.0,0.0,0.0,0,0.0,R3,47,942,-583,142.1
gen_106_57,110,0.0,wind,106,,,0.0,0.0,0.0,0,0.0,R3,48,988,-582,142.1
gen_110_58,150,0.0,nuclear,110,5.3,5.3,24.0,24.0,33.0,0,15319.4,R3,50,900,-707,142.1
gen_111_59,110,0.0,wind,111,,,0.0,0.0,0.0,0,0.0,R3,51,987,-699,142.1
gen_112_60,500,0.0,thermal,112,5.7,5.7,24.0,24.0,138.0,0,2052.3,R1,52,203,-276,142.1
gen_115_61,80,0.0,solar,115,,,0.0,0.0,0.0,0,0.0,R2,53,781,-362,355.4
