gen_1_0;gen_7_1;gen_9_2;gen_9_3;gen_13_4;gen_16_5;gen_16_6;gen_16_7;gen_16_8;gen_21_9;gen_22_10;gen_23_11;gen_23_12;gen_23_13;gen_26_14;gen_27_15;gen_28_16;gen_29_17;gen_29_18;gen_32_19;gen_33_20;gen_35_21
0;8.7;0;134.4;0;4.6;0.3;0.3;4.5;0.7;0;0.3;0.3;0;0.6;0.6;0;9.1;0.5;399;0;26.7
0;8.5;0;134.5;0;4.4;0.2;0.2;4.4;0.4;0;0.2;0.2;0;0.4;0.4;0;9.2;0.3;399;0;27.1
0;8.4;0;134.6;0;4.4;0.1;0.1;4.3;0.2;0;0.1;0.1;0;0.2;0.2;0;9.1;0.2;399;0;25.2
0;8.6;0;134.7;0;4.4;0;0;4.3;0.1;0;0;0;0;0.1;0.1;0;9.3;0.1;399;0;25.6
0;8.3;0;124.4;0;4.2;0;0;4.3;0;0;0;0;0;0;0;0;9.2;0;399;0;24
0;8.5;0;114.2;0;4.2;0;0;4.2;0;0;0;0;0;0;0;0;9.2;0;399;0;24.1
0;8.4;0;103.9;0;4.1;0;0;4.2;0;0;0;0;0;0;0;0;9.2;0;399;0;25
0;8.3;0;93.7;0;4.2;0;0;4.1;0;0;0;0;0;0;0;0;9.3;0;399;0;22.2
0;8.2;0;96.9;0;4;0;0;4.1;0;0;0;0;0;0;0;0;9.3;0;399;0;19.3
0;8.3;0;88.6;0;4;0;0;4;0;0;0;0;0;0;0;0;9.3;0;399;0;17.5
0;8.4;0;98.9;0;3.9;0;0;3.9;0;0;0;0;0;0;0;0;9.2;0;399;0;18.8
0;8.3;0;109.1;0;3.9;0;0;3.9;0;0;0;0;0;0;0;0;9.4;0;399;0;19.8
0;8.4;0;119.4;0;3.9;0;0;3.8;0;0;0;0;0;0;0;0;9.2;0;399;0;21.7
0;8;0;126.1;0;3.8;0;0;3.8;0;0;0;0;0;0;0;0;9.4;0;399;0;21.2
0;8.2;0;134.9;0;3.7;0;0;3.8;0;0;0;0;0;0;0;0;9.2;0;399;0;21
