gen_1_0;gen_7_1;gen_9_2;gen_9_3;gen_13_4;gen_16_5;gen_16_6;gen_16_7;gen_16_8;gen_21_9;gen_22_10;gen_23_11;gen_23_12;gen_23_13;gen_26_14;gen_27_15;gen_28_16;gen_29_17;gen_29_18;gen_32_19;gen_33_20;gen_35_21
0;8.6;0;134.7;0;4.5;0.3;0.3;4.5;0.6;0;0.3;0.3;0;0.6;0.6;0;9.1;0.5;401.6;0;26.7
0;8.4;0;134.1;0;4.4;0.2;0.2;4.4;0.4;0;0.2;0.2;0;0.4;0.4;0;9.2;0.3;403.7;0;27.1
0;8.6;0;134.8;0;4.4;0.1;0.1;4.3;0.2;0;0.1;0.1;0;0.2;0.2;0;9;0.2;399.6;0;25.2
0;8.5;0;135;0;4.4;0;0;4.4;0.1;0;0;0;0;0.1;0.1;0;9.1;0.1;400.2;0;25.6
0;8.2;0;126.2;0;4.2;0;0;4.3;0;0;0;0;0;0;0;0;9.2;0;400.9;0;24
0;8.6;0;113;0;4.2;0;0;4.2;0;0;0;0;0;0;0;0;9.1;0;395.5;0;24.1
0;8.4;0;103.6;0;4.2;0;0;4.2;0;0;0;0;0;0;0;0;9.2;0;405.1;0;25
0;8.4;0;94.4;0;4.1;0;0;4.1;0;0;0;0;0;0;0;0;9.4;0;405;0;22.2
0;8.3;0;96.9;0;4;0;0;4.1;0;0;0;0;0;0;0;0;9.2;0;398.1;0;19.3
0;8.3;0;87.5;0;4.1;0;0;4;0;0;0;0;0;0;0;0;9.2;0;398.7;0;17.5
0;8.2;0;98;0;4;0;0;3.9;0;0;0;0;0;0;0;0;9.4;0;400.5;0;18.8
0;8.3;0;108.2;0;3.9;0;0;3.9;0;0;0;0;0;0;0;0;9.3;0;394.6;0;19.8
0;8.6;0;119.8;0;3.9;0;0;3.8;0;0;0;0;0;0;0;0;9.3;0;395.2;0;21.7
0;8;0;125.3;0;3.8;0;0;3.8;0;0;0;0;0;0;0;0;9.2;0;397.5;0;21.2
0;8.3;0;134.5;0;3.7;0;0;3.9;0;0;0;0;0;0;0;0;9.1;0;391.1;0;21
0;8.2;0;122.5;0;3.8;0;0;3.8;0;0;0;0;0;0;0;0;9.5;0;396.5;0;20.7
0;8.1;0;114.1;0;3.7;0;0;3.7;0;0;0;0;0;0.1;0.1;0;9.2;0.1;398.1;0;19.9
0;8.3;0;124.3;0;3.6;0;0;3.6;0.1;0;0;0;0;0.1;0.1;0;9.5;0.1;398.5;0;20.5
0;8.1;0;135;0;3.6;0;0;3.6;0;0;0;0;0;0;0;0;9.1;0;405.1;0;19.8
0;8;0;133.4;0;3.6;0;0;3.6;0;0;0;0;0;0;0;0;9.4;0;396.4;0;19.5
0;8;0;133.7;0;3.5;0;0;3.5;0;0;0;0;0;0;0;0;9.2;0;397.5;0;20.2
0;7.9;0;133.5;0;3.6;0;0;3.5;0;0;0;0;0;0;0;0;9;0;403.1;0;19.2
0;7.9;0;133.3;0;3.6;0;0;3.5;0;0;0;0;0;0;0;0;9.2;0;395.8;0;19.1
0;8.2;0;133.1;0;3.5;0;0;3.5;0;0;0;0;0;0;0;0;9.3;0;394.6;0;19.7
0;8;0;133.8;0;3.4;0;0;3.5;0;0;0;0;0;0;0;0;9;0;394.9;0;20.4
0;8;0;125.4;0;3.5;0;0;3.4;0;0;0;0;0;0;0;0;9.1;0;402.6;0;19.6
0;7.9;0;111.8;0;3.4;0;0;3.5;0;0;0;0;0;0;0;0;9.3;0;395;0;19.1
0;8;0;101.4;0;3.4;0;0;3.5;0;0;0;0;0;0;0;0;9.1;0;399.7;0;19.8
0;7.8;0;93.5;0;3.3;0;0;3.4;0;0;0;0;0;0;0;0;9.5;0;394.4;0;18.6
0;7.9;0;83;0;3.4;0;0;3.4;0;0;0;0;0;0;0;0;9.2;0;403.4;0;17.7
0;7.9;0;71.6;0;3.4;0;0;3.3;0;0;0;0;0;0;0;0;9.1;0;403.9;0;18.1
0;7.8;0;61.1;0;3.3;0;0;3.4;0;0;0;0;0;0;0;0;9.2;0;394.3;0;18.2
0;7.7;0;51.3;0;3.3;0;0;3.3;0;0;0;0;0;0;0;0;9.3;0;400.6;0;18.6
0;7.7;0;40.5;0;3.3;0;0;3.4;0;0;0;0;0;0;0;0;9.5;0;392.9;0;18.2
0;7.7;0;31;0;3.3;0;0;3.4;0;0;0;0;0;0;0;0;9.1;0;403.8;0;17
0;7.9;0;20.6;0;3.2;0;0;3.3;0;0;0;0;0;0;0;0;9.1;0;403.1;0;17.3
0;7.8;0;10.4;0;3.2;0;0;3.3;0;0;0;0;0;0;0;0;9.2;0;399.1;0;18.3
0;7.6;0;0;0;3.3;0;0;3.2;0;0;0;0;0;0;0;0;9.3;0;392.7;0;18.4
0;7.8;0;0;0;3.3;0;0;3.3;0;0;0;0;0;0;0;0;9.5;0;397.5;0;19.5
0;7.5;0;1.1;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.2;0;405.6;0;19.4
0;7.7;0;1.2;0;3.3;0;0;3.2;0;0;0;0;0;0;0;0;9.2;0;397.1;0;19.4
0;7.5;0;11.5;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.4;0;397.2;0;19.6
0;7.6;0;14;0;3.3;0;0;3.2;0;0;0;0;0;0;0;0;9.2;0;399.5;0;18.8
0;7.3;0;3.6;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.1;0;398.7;0;20.8
0;7.7;0;10.3;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.2;0;401;0;22.1
0;7.4;0;0;0;3.3;0;0;3.3;0;0;0;0;0;0;0;0;9.2;0;404.9;0;23.2
0;7.6;0;1.6;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.2;0;396.3;0;23
0;7.7;0;0;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.1;0;395.7;0;22.6
0;7.7;0;0;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.3;0;396.4;0;23.9
0;7.6;0;10.3;0;3.3;0;0;3.1;0;0;0;0;0;0;0;0;9.4;0;398.1;0;23.4
0;7.3;0;0;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.2;0;392.7;0;21.7
0;7.5;0;0;0;3.1;0;0;3.2;0;0;0;0;0;0;0;0;9.1;0;399.1;0;21
0;7.6;0;0;0;3.3;0;0;3.2;0;0;0;0;0;0;0;0;9.4;0;397.9;0;21.4
0;7.4;0;0;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.2;0;393.7;0;21
0;7.5;0;0;0;3.2;0;0;3.1;0;0;0;0;0;0;0;0;9.5;0;399.6;0;20.8
0;7.5;0;0;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9;0;405.1;0;19.2
0;7.5;0;0;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.2;0;403;0;19
0;7.3;0;0;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.2;0;398.4;0;17.7
0;7.2;0;0;0;3.3;0;0;3.3;0;0;0;0;0;0;0;0;9.3;0;405;0;16.3
0;7.5;0;10.4;0;3.3;0;0;3.2;0;0;0;0;0;0;0;0;9.3;0;408.5;0;16.5
0;7.4;0;20.7;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;9.3;0;408.3;0;16.8
